,jobtitle,employer,location,seniorityLevel,employmentType,jobFunction,industry,salaryRange,jobStatus,description
37,Software Developer,Nobia,"Morley, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Furniture, Consumer Goods, and Retail",,Open,"['Join us as a Software Developer (VB/C#.NET) and you’ll become part of the leading kitchen specialist in Europe.\n\nWhat you’ll be doing\n\nYou’ll join a supportive and dedicated Software Development team that provides a bespoke service to our Nobia UK brands.\n\nYou’ll be innovative and be able to prototype new ideas quickly to be highly responsive to market and operating requirements. You will develop layers of integration between bespoke and off the shelf solutions along with being able to migrate single-user developed systems to scalable and version control multi-user platforms.\n\nHow you will qualify for the role\n\nWe would like to hear from you if you are passionate about software development and are experienced in using VB.NET or C#.NET (VB.NET training provided). Microsoft SQL (2012+), MVC & Web Forms, HTML, CSS and JavaScript development.\n\nYou will need to have experience working in a similar role.\n\nKnowledge and understanding of Project Management and Agile working would be advantageous.\n\nWhat you’ll get in return\n\nYou’ll discover a rewarding team environment, excellent career and development opportunities, and a competitive salary. Benefits also include pension and life assurance, 23 days holidays rising to 25 with 5 years’ service, discounts with various retailers and a generous colleague discount on our kitchen products\n\nWho are we?\n\nJoin us and you’ll be part of more than 15 strong brands including Magnet, Gower and Commodore Kitchens. We make sure our people have room to learn, evolve, and grow their skills.']"
38,Data Engineer,Sky Betting & Gaming,"Leeds, England, United Kingdom",Mid-Senior level,Full-time,Information Technology,Gambling & Casinos,,Open,"[""We’re looking for a dynamic Data Engineer to join one of the most exciting Tribes within Sky Betting and Gaming – the Data Tribe!\n\nData are the tribe that takes raw information, and puts intelligence in the hands of decision makers. Our teams design and build SBG’s data capabilities, from data warehousing platforms and business reporting, to machine learning and predictive algorithms.\n\nWe believe the data we serve will make a difference, and we are on a journey to migrate our data warehouse to the cloud, to unleash more of its vast potential! Our strategy is to migrate from on prem Hadoop platform to Google Cloud Platform utilising their big data tools. We are underway with this project and skills in GCP tooling such as BigQuery, Pub/Sub, Data Flow, Data Proc, Composer as well as GCP accreditation is an advantage.\n\nIf you’re the kind of person who embraces challenges and is able help the team to think “outside of the box” to unblock processes, you would be an ideal fit for this role.\n\n\nWhat you'll do\n\nResponsibilities as a Data Engineer include...\n\nDeliver outstanding software solutions, which are secure, appropriately tested, perform well, and help provide an engaging customer experience\nActively improve your engineering skills growing your mastery level of our stack\nPlay a proactive part in owning your team’s services; taking ownership for support, monitoring, measuring performance and addressing technical issues when required\nContribute enthusiastically to our continuous improvement of coding practices, application quality, tooling and agile processes\nContinuously evaluate team’s processes and procedures to maintain a positive and efficient engineering culture\nDirectly contribute to the design and code of the data pipelines operating on secure, production data\nContribute to the end-to-end design and implementation of common components that improve our ability to write efficient and reliable data pipelines\nBuild and maintain quality technical documentation for any software you have developed, ensuring maintainability, readability and test-ability\nConduct code reviews, pair programming and knowledge sharing sessions, embracing feedback at every step\nInvolve yourself in code deployments, including raising and completing change requests to deploy to production\nHelp grow the engineering team’s community presence through contributing to conferences, meetups, blog posts and open-source projects\n\n\nHow you'll do it\n\nCollaboration is a key part of working at Sky Betting and Gaming. The ideal candidate will thrive in this environment, supporting their colleagues in their weaker areas and in return, we'll nurture you with your development goals! You should also...\n\nDemonstrate experience of working with and designing a platform, implementing best practices around data processing on an industrial scale\nShow your ability to deliver on projects of varied complexity across multiple SBG domains\nHave strong software development skills (particularly in Scala) in an object oriented and/or functional design, coding, and testing patterns, detailing in a clear and concise manner\nDemonstrate solid knowledge of data modelling, including data lakes and warehousing tools and techniques\nHave hands-on experience with ingesting and processing streamed data (e.g. RabbitMQ, Kafka, PubSub etc.) and data flow orchestration (Data Flow, Apache NiFi, Airflow, Luigi etc.)\nPosses a strong understanding of the SDLC of data products, relevant CI/CD tools (Jenkins, Spinnaker, TeamCity) and containerisation (Docker, Kubernetes, Helm)\nAdapt to new technologies and technical challenges, working in a fast-paced, dynamic and agile organisation\nSupport project delivery with pragmatic estimates and progress tracking\nExcellent interpersonal, written communication skills and highly numerate\nBe able to learn from mistakes, embodying a “fail fast, succeed faster” mentality\n\n\nCulture & Benefits\n At Sky Betting & Gaming, we're building and promoting a culture where difference is valued, and everyone can be the best version of themselves. We hire you for you and celebrate individuality. \n\nOur culture has been recognised for being one of the best in the UK;\n 11th Best Place to Work 2021 on Glassdoor \n34th in the Best Companies Best Large Companies to work for list \nAwarded Gold in Mind’s Workplace Wellbeing Index 2020/21\nAnd our CEO Steve Birch (CEO), has been placed #21 on the Top CEOs in the UK list by Glassdoor.\n\n We help you to live your life better: \n\nCompetitive salary & twice-yearly bonus package \n£1,000 learning fund to help you get better at what you do \nFlexible working opportunities \n16 hours volunteering time per year so you can give back to your local community \nSky Q ultra-premium package inc. broadband \nHealth & Digital Insurance \n\nAnd much more, please visit our benefits page for even more amazing benefits: https://www.skybetcareers.com/benefits/ \n\nWe`re open to discussing reduced hours, job sharing and flexible start and finish times. Speak to us about your options and we`ll explore what`s possible.""]"
39,Software Developer in Test - JavaScript/NodeJS - 100% Remote,Oliver James,"Leeds, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Information Technology and Services, Staffing and Recruiting, and Financial Services",,Open,"['Software Engineer in Test - JavaScript/NodeJS - 100% Remote\n\nA major client in the media industry are seeking a Software Engineer in Test to join their expanding Agile team. This position can be full time remote but they have offices in Leeds and London so flexibility to get to these offices from time to time may be useful. My client are a SME within a 20,000 person organisation, so there is huge opportunity to grow, and lots of upskilling across the team.\n\nSoftware Engineer in Test - JavaScript/NodeJS - 100% Remote\n\nA major client in the media industry are seeking a Software Engineer in Test to join their expanding Agile team. This position can be full time remote but they have offices in Leeds and London so flexibility to get to these offices from time to time may be useful. My client are a SME within a 20,000 person organisation, so there is huge opportunity to grow, and lots of up-skilling across the team.\n\nThis role would suit a proactive and detail-oriented Software Engineer in Test as you will help develop my client\'s automated test suite that underpins the delivery of our media supply chain. They have a complex solution built with ""off the shelf software"" and in-house development. They embrace Ci/CD and DevOps; delivering a cloud native media management solution.\n\nThe successful candidate will fulfil a vital part of a Tech and Ops team, utilising prior experience to build upon their automated test tools to migrate systems toward a true Ci/CD cycle.\n\nThe kind of experience we would be keen to see:\nIs experienced Software Engineer in Test working with Javascript (NodeJS).\nHas significant experience in automated software testing\nHas good knowledge of SDLC (Software development lifecycle)\nHas experience using Cucumber, Gherkin.\nIs experienced in using JIRA and Confluence\nHas knowledge of quality assurance processes and procedures\nHas solid experience of working within agile frameworks\nThis is a 100% remote role!\n\nIf this role sounds like something you would be interested in, please get in contact with Katrina at Oliver James at katrina.rajah @ oliverjames.com or click APPLY to this job advert.']"
40,Junior Software Support Analyst - Data collection,Crisp,"Leeds, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Financial Services",,Open,"[""The Role\n\nWe are recruiting for interim Junior Software Support Analysts to join our Data team and accelerate our data collection activities; ensuring the right data is available to combine with risk analysis and other Machine Learning that will enhance the quality of services we provide to our customers. The project will be for a period of 6 weeks initially with the opportunity to extend and for a minimum of 20 hours per week.\n\nThe right candidate will have an understanding of a formal programming language and how to read API documentation. You will have a passion to automate manual business workflows & increase resilience and scalability of our service.\n\nAs our Junior Software Support Analyst you will be responsible for gathering and prioritising data collection requirements, implementing collection using existing CRISP technology and ensuring the data meets customer need and drives value.\n\nYou will work closely with onboarding teams, CRISP solution architects, the wider data team, account managers and analysts to ensure the requirements are fit for purpose and deliver value.\n\nThis role is suitable for a graduate / junior and will work closely with our data team and Solutions Engineers to learn on the job.\n\nDuties will include\nGathering and prioritising data collection requirements from across CRISP.\nWorking closely with the onboarding team and Product team to align customer data collection requirements across various technologies.\nWorking closely with the data ontology team to ensure the collection is integrated with the CRISP data architecture\nWorking closely with the risk detection, machine learning and data science teams to ensure effective exploitation of the data, aligned to customer requirements.\nConfiguring SaaS based solutions accurately in line with specifications.\nProduces solution design documents from customer facing workflows\nEnsures project documentation is complete, current and appropriately stored\nFollows robust quality assurance processes to ensure accuracy of implementation\nPeer reviews other team members work as part of the quality assurance process\nProactively identifies opportunities to streamline the solutions engineering team’s processes\nWorks closely with the Programme Manager and internal customer facing teams to communicate progress of new implementations and change orders\nEstablish successful working relationships with all key personnel\nBe a pro-active, productive and positive team member\nMaintain and develop a professional approach to all aspects of the job and at all times uphold the image of Crisp Thinking\nRequirements\n\nQualifications, training and experience required\nEssential A minimum 2 1 in a technical / computer science degree or equivalent technical experience\nKnowledge of XPATH to extract data\nExperience of JSON, APIs and programming language.\nExperience in learning and using bespoke software\nExcellent communication skills.\nDesirable Any industry experience gained within a technical environment would be an advantage\nKey Personal Characteristic\nAttention to detail\nAbility to work under pressure and to client deadlines\nStrong will to automate and streamline repetitive tasks\nStrong logical thinking and problem-solving skills\nProfessional and organised\nAbility to multi-task across multiple concurrent projects\nAble to adapt technical skills in a rapidly changing environment\nAbility to prioritise a busy workload\nProfessional and positive approach\nSelf-motivated and self sufficient\nGood technical ability\nExcellent communication skills\nTeam player\nBenefits\n\nOur rewards are as unique as our culture, and we want to attract the best people and retain them. Not only will we ensure that your development is key, but you will be joining a fantastic team of like-minded people who work together as one team to achieve a shared vision.\nMarket competitive salary based on your skills and experience.\n33 days holiday including Bank Holidays (pro-rated for hours worked)\nEmployee perks schemes offering discounts, rewards, giveaways and more.\nMental health wellbeing portal and access to an in-house clinical psychologist.\nSupport and provision of supplies to facilitate home working.\nFlexible working opportunities.\nAbout CRISP\n\nCrisp provides 24/7/365 early-warning risk intelligence as a service for leading brands, global enterprises and social media platforms, providing customers with a real-time risk defence, with intelligence and compliance solutions guaranteed to ensure our customers are always the first to know and act.\n\nThese risks can take many forms, including activist attacks, hate speech, threats, fake news, false rumours, illegal content, compliance failures and many more.\n\nFuelled by the increased popularity of closed social media groups and messaging apps, this harmful content can now spread virally, at scale before it reaches mainstream media channels. Unfortunately, anyone has the power to create and share harmful content, especially instigators and influencers who distribute millions of new types every day.\n\nStatement\n\n'This work meets the requirements in respect of exempted questions under the Rehabilitation of Offenders Act 1974, any applicants who are offered work for this organisation will be subject to an enhanced check from the Disclosure and Barring Service (DBS). This will include details of cautions, reprimands or final warnings as well as convictions. A criminal record will not automatically bar a person from successfully taking up this post.""]"
41,Software Engineer - Go,Couchbase,"Leeds, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Internet",,Open,"[""At Couchbase, big things happen. Every day, we’re translating vision into reality by tackling new and exciting challenges head-on. This is a breakthrough stage in our company, where the enthusiasm of our employees and leadership team is infectious and growing. You’ll have the opportunity to learn new skills, grow your career, and work with the smartest, most passionate people in the industry.\n\nYou are a Software Engineer responsible for building and managing cloud-native applications across multiple clouds. In this role, you will develop, implement, and operate Couchbase's Cloud products. If you have experience developing applications using Go programming language (or willingness to learn) along with experience with either the three major cloud platforms- AWS, Azure, GCP, we'd love to have you apply.\n\nHere's a brief look at what success looks like in this role:\nIn 3 months time- you'll have collaborated with the team to build and shipped a material contribution such as a new feature, regularly contributed to code reviews, and fixed a few bugs.\nIn 6 months time- you'll have earned the trust of the team and taken on independent code review responsibilities that help prevent bugs that are collaborating on the design of new features.\nIn 12 months time- you'll have delivered tasks throughout the SDLC, from design through development with some guidance and have established a cadence of on-time deliver with high quality work.\nThis role is also open to remote work as our teams are globally distributed. We are a remote-first team.\n\nResponsibilities\nDesign, develop, test, deploy, document, maintain and improve software\nManage individual project priorities, deadlines and deliverables\nBuild and expand our APIs and services, written in Go\nCollaborate with other engineers across the stack to deliver delightful user experiences\nMonitor, troubleshoot, and improve system security, stability, reliability, and performance\nDefine and implement SLIs and monitor and improve SLOs\nWrite various kinds of tests including unit and integration tests\nSmartly instrument software using techniques such as distributed tracing and logging\nWrite and review technical proposals\nImprove engineering standards, tooling, and processes\nDocument systems, build runbooks, and automate those processes\nKey technologies this role will employ: Go (Golang), Kubernetes, AWS, Azure, GCP, Grafana, Prometheus, Alert Manager, Thanos, Terraform, Vault, Couchbase Server, Datadog\nQualifications\nYou care deeply about software quality and operability, and better ways of building software\nYou are able to knowledgeably discuss performance, security, and user interactions within complex systems\nYou desire to write software that is sympathetic to the humans who will maintain it\nYou love to write Go, more Go, and then a little more Go\nYou enjoy giving and receiving code reviews\nYou are kind and collaborative\nYou enjoy working remote with people from all over the world\nValue clear, open communication\nWe value thoughtful feedback and regular dialogue and collaboration as a fundamental skill for our team members\nAbout Couchbase\n\nAt Couchbase, we believe data is at the heart of the enterprise. We empower developers and architects to build, deploy, and run their most mission-critical applications. Couchbase delivers a high-performance, flexible and scalable modern database that runs across the data center and any cloud. Many of the world’s largest enterprises rely on Couchbase to power the core applications their businesses depend on.\n\nAs a 2021 Bay Area Best Places to Work winner, Couchbase recognizes the need for time off when you need it. Enjoy unlimited time off (DTO), matching 401K contributions, ESPP and many other amazing benefits . See more of our recent awards to learn what makes Couchbase such a great company to work at.\n\nLearn More About Couchbase And Our Technical Capabilities\nCompare Couchbase vs. MongoDB\nCompare Couchbase vs. Oracle\nBrowse the Developer Portal\nCouchbase is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.""]"
42,Database Software Developer,Hays,"Wakefield, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Construction, Staffing and Recruiting, and Financial Services",,Open,"['Hays Technology is looking for a Systems and Database Technical Specialist to help our large public sector client in the Wakefield area to assist the existing team with a high-profile data project.\n\nWhat you will be doing: You will be taking responsibility for the trust systems and database administration and 2nd line support. You will be responsible for application security and will support the provision of information security and database services adopting ITIL, best practices across Change, Problem Capacity and Availability Management. You will also investigate complex technical issues and enquiries providing assistance and advice as required.\n\nWho You Will Be Working For\n\nOur client is a large public sector employer and has a large presence both in Wakefield and the wider Yorkshire region. They are becoming increasingly more aware of the importance of data and how it is used to improve the experience of service users.\n\nWhat We Are Looking For\nDegree in computer science/ business IT or equivalent industry experience\nKnowledge of Microsoft SQL\nPrevious experience of working in a system and data base administration.\nevidence of systems and database continuity planning and testing.\nEvidence of reviewing, documenting and administering a variety of applications.\nExperience of writing clear and concise IT policies and procedures\nAble to provide and receive highly complex sensitive and contentious information; agreement or co-operation required; present complex, sensitive or contentious information to large groups.\nWhat You Will Get In Return\n\nWorking in the public sector is certainly rewarding and this is no exception. A competitive annual salary, 27 days annual leave in addition to bank holidays plus a generous pension scheme\nPlease click to apply for this role, we welcome your application!\nI am a consultant for Hays Technology, specialising in Data and Business Intelligence for the West Yorkshire region, helping tech professionals develop and progress in their careers and ensuring organisations are supported by the top talent. My passion for this space emanates from ensuring that businesses and organisations can build on strong principles of customer service and delivery and that I personally thrive on delivering for our candidates and clients.\n\nAt Hays Technology, we are shaping the future of recruitment. Systems & Database Technical Specialists have never been needed more and finding the best talent for these roles are a top priority. We are talking – all the time- to organisations who actively seeking to improve their use and understanding of data and for the talent to support them. So, whether you are hiring for your team, or looking to take the next step in your cyber career, talk to us today. #3950201']"
43,Data Analyst,TTEC,"West Yorkshire, England, United Kingdom",Not Applicable,Full-time,Information Technology,"Information Technology and Services, Outsourcing/Offshoring, and Telecommunications",,Open,"['– Leeds / Remote UK\n\nTTEC are an award winning global CX technology and services innovator for end to end, digital CX solutions. Our EMEA region is currently experiencing rapid growth with delivery in the UK, Poland, Greece, Bulgaria, Ireland and North Africa. We serve iconic and disruptive brands, our outcome-based solutions touch every virtual interactive channel and improve each step of the journey. It’s a great time to join the team.\n\nThe Role\n\nYou will provide data based tactical insight and reports to identify potential improvement initiatives within the operation. Deliver innovative solutions for the business by surfacing these underlying opportunities, highlighting factual data & information, and narrating ‘the story’ around those opportunities.\n\nThe aim of this role is to aid our operations, support teams and clients in providing a world class customer service and experience, unlocking problems and providing proactive solutions. This is achieved by supporting TTECS internal operations, around key performance indicators, SLA’s, case and customer information and the clients internal business processes with tangible and actionable insight, reporting and recommendations\n\nAccountabilities & Activities\nDeliver innovative data analysis and insight, along with improvement recommendations for TTEC and our clients\nContribute to insight and reporting reviews through the application of advanced analytics, using internal and external data sources\nArticulate options & recommendations to both internal & external stakeholders, clearly highlighting benefits and challenges of each proposal, adjusting your approach as applicable to client specific circumstances\nSupport senior management to formulate management information & insight\nSupport projects, both short & long term, by collating and analysing data and converting this into intelligent insight that can be used to meet business & client requirements\nWork with the wider BI teams where appropriate to help deliver a required level of service to support our clients in a robust & governed way, ensuring data and reporting is accurate and timely\nLiaise with core operational stakeholders and other support teams where appropriate (e.g. MI, Planning, TTEC digital, etc.)\nSupport senior management by providing input for change controls in a timely fashion\nSupport senior management to ensure that contracted obligations are met\nThere is an expectation that some travel may be required as part of the role\nQualifications, Knowledge & Experience\nExcellent Excel knowledge, including VBA, and formulae\nGood presentation skills, including use of PowerPoint\nGreat communication skills, both written & verbal\nA willingness to work independently when required using own initiative\nThorough understanding of Power BI, reporting and MI suites\nKnowledge of Insight, MI, analytical and mathematical theories and methods\nA good understanding of how Call Centre operations work would be advantageous\nExperience of collation, reporting and presentation of data & information is essential\nA genuine interest in data analysis and insight\nExcellent problem solving ability\nAn aptitude for both efficient and accurate working\nA willingness to work independently when required using own initiative\nTTEC is proud to be an equal opportunity employer. TTEC embraces and is committed to building a diverse and inclusive workforce that respects and empowers the cultures and perspectives within our global teams. We strive to reflect the communities we serve, by not only delivering amazing service and technology, but also humanity. We make it a point to make sure all our employees feel valued, belonging and comfortable being their authentic selves at work. As a global company, we know diversity is our strength because it enables us to view things from different vantage points and every individual to bring value to the table in their own unique way. But don’t take our word for it, check out some of the diversity and women in leadership awards on TTECjobs.com.\n\nPrimary Location\n\nGB-ENG-West Yorkshire\n\nJob\n\nBusiness Analysis / Reporting']"
44,Software Engineer - Machine Learning (Remote),Yelp,"Leeds, England, United Kingdom",Mid-Senior level,Full-time,Engineering,"Computer Software, Internet, and Marketing and Advertising",,Open,"[""Yelp has hundreds of millions of pieces of user-contributed content, millions of users and business listings, and hundreds of thousands of advertising customers–and all of these numbers are constantly growing. Yelp’s machine learning engineers turn raw data into valuable signals by building end-to-end ML systems, from feature ETL to deploying predictive models in production, as well as by building the ML platforms that these models rely on. These systems power applications like search ranking, ads targeting, push notifications, and photo understanding. Our data teams banter about Bandits, know their way down a Gradient, and aren’t too Naïve to kick back in our office.\n\nYelp engineering culture is driven by our values: we’re a cooperative team that values individual authenticity and encourages creative solutions to problems. We enable all new team members to deploy working code their first week, and your impact will only grow from there with the support of your manager, mentor, and team. At the end of the day, we are all about helping our users, growing as engineers, and having fun in a collaborative environment.\n\nWe’d love to have you apply, even if you don't feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.\n\nWhere You Come In\nConduct end-to-end analyses, from wrangling data via SQL or Python, to statistical modeling, to hypothesizing and presenting business ideas.\nWork with large, complex datasets.\nLead the development of machine learned models for offline, batch-based data products as well as models deployed to online, real-time services.\nWork in areas such as search, ads targeting, spam, and photo understanding.\nProductionize and automate model pipelines within Python services.\nWhat It Takes To Succeed\nExperience with data ETL and data analysis packages and workflows (SQL, MapReduce, Spark, etc.).\nExperience with machine learning using packages such as xgboost, sklearn, TensorFlow, etc.\nA love for writing beautiful and maintainable code.\nThe curiosity to uncover promising solutions to new problems, and the persistence to carry your ideas through to an end goal.\nComfort in using a Unix environment.\nIf you don't have at least one year of experience in a similar role, please take a look at our College Engineering roles instead!\nWhat You'll Get\nFull responsibility for projects from day one, an awesome team, and a dynamic work environment\nCompetitive salary with equity in the company, a pension scheme, and an optional employee stock purchase program\n25 days paid holiday initially, rising to 29 with service\nPrivate health insurance, including dental and vision\nFlexible working hours and meeting-free Wednesdays\nRegular 3-day Hackathons and weekly learning groups, always with interesting topics\nOpportunities to participate in events and conferences throughout Europe and the US\n£58 per month toward any exercise of your choice\nYelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to Age, Disability, Gender Reassignment, Marriage or Civil Partnership, Pregnancy and Maternity, Race, Religion or Belief, Sex.\n\nNote: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resume""]"
45,Software Developer,Capita,"Gildersome, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Information Technology and Services, Staffing and Recruiting, and Financial Services",,Open,"[""We’re supporting our clients as they adapt to a new world in the wake of COVID-19. We’re now recruiting for roles which will help our clients to deliver vital services and to resume business wherever possible.\n\nCapita SSS provides mission critical command and control software to the Emergency Services globally. Several development teams exist across products and locations to deliver customer funded projects/changes, strategic roadmap changes and fixes to support our current customer base.\n\nThe software developer role is a largely internal facing role working within an agile software development team to ensure that the team meets its sprint goals and delivers quality software on time and to budget.\n\nThe role is “hands on” being fully involved in the code base of the applications using knowledge of .NET framework, WPF, SQL Server, data structures, code efficiency and problem-solving skills.\n\nThis is a home based role\n\nJob Title\n\nSoftware Developer\n\nJob Description\n\nAs a software developer, you will work closely with several different roles to ensure that the changes you develop are delivered in a timely manner and to specification. As such, collaboration within the team with all disciplines including Solution Assurance and Business Analysis is essential to the role.\n\nIt is fully expected that you will be up to date with current technologies and will have a keen desire to both learn from others and to help others learn from you in order to progress and grow both yourself and the team.\n\nWe create better outcomes for the business and our candidates by identifying the best, most diverse people who have the skills, values, mindset and potential to help us realise our strategic ambitions.\n\nYou will be part of a development team of around 10-15 people including around 4 other software developers, 1 development team lead, 4 test analysts and several business analysts.\n\nDepending on the specific product(s) you are working on, there may also be several other development teams of a similar size working on the same product.\n\nWhat We're Looking For\nStrong technical development skills using Microsoft .NET languages\nA strong problem-solving mindset to aid with investigating reported issues to identify the cause and solution\nExperience of source control repositories e.g. GIT for collaboration with others as well as safely managing the product source code\nA team player, comfortable with collaborating with people of different roles and backgrounds\nAble to be self-reliant, but know when to reach out for support from others when required\nAble to maintain a clear, simple, efficient approach in all aspects of your work\nA passion to learn and keep growing to keep up with new technologies and progress your career\nA good attention to detail and a drive to get things right first time\nDue to the nature of our work you must be eligible for Security Clearance\nWhat’s in it for you?\nA competitive basic salary\n23 days’ holiday (rising to 27 ) with the opportunity to buy extra leave\nThe opportunity to take a paid day out of the office, volunteering for our charity partners or a cause of your choice\nCompany matched pension, life assurance, a cycle2work scheme, 15 weeks’ fully paid maternity, adoption and shared parental leave, paternity pay of two weeks…and plenty more\nVoluntary benefits designed to suit your lifestyle – from discounts on retail and socialising, to health & wellbeing, travel and technology\nAccess to our Employee Network Groups, which represent every strand of diversity and allow colleagues to connect and learn from each other on an open, inclusive platform\nYou’ll get the chance to follow your chosen career path anywhere in Capita. You’ll be joining a network of 63,000 experienced, innovative and dedicated individuals across multiple disciplines and sectors. There are countless opportunities to learn new skills and develop in your career, and we’ll provide the support you need to do just that. Our purpose is to create a better outcome for you.\n\nWhat We Hope You’ll Do Next\n\nChoose ‘Apply now’ to fill out our short application, so that we can find out more about you.\n\nWe’re an equal opportunity employer, which means we’ll consider all suitably qualified applicants regardless of gender identity or expression, ethnic origin, nationality, religion or beliefs, age, sexual orientation, disability status or any other protected characteristic. We recruit and develop our people based on merit and their passion for creating better outcomes, and we’re committed to creating an inclusive environment for all employees.\n\nAll interviews, assessments and background checks will continue to take place online, to completely remove the need for face-to-face contact. All Capita colleagues who can work from home should do so; and where it is not possible for colleagues to work remotely, we have taken important steps to protect those working from Capita’s offices. Social distancing, enhanced hygiene and safety measures are already in place at all Capita locations that are open to protect our colleagues and manage the risk of COVID-19. The welfare of our people is of paramount importance to us, and we’re doing everything we can to keep our colleagues and customers safe during this time.\n\nLocation:\n\nHome-Based - GBR\n\n,\n\nUnited Kingdom\n\nTime Type\n\nFull time\n\nContract Type\n\nPermanent""]"
46,Software Developer (flexible working),Barnett Waddingham,"Leeds, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Information Technology and Services, Staffing and Recruiting, and Financial Services",,Open,"['Our IT Practice Area is a key part of our success and our clients include many large household name companies.\n\nWe are seeking multiple software developers with a passion for programming to join our fantastic and exciting software development teams as we invest heavily in data-driven consultancy and digital pensions.\n\nThere is the option to work flexibly and in the majority from home - however, you will sometimes need to attend our Leeds office to support your personal and team development and to meet the needs of our stakeholders.\n\nTo thrive in our teams you will be a team-player producing high-quality tested code, building first-class user experiences and pro-active in developing yourself as a problem-solver within the business context in which your software is used.\n\nOur Solutions Are Built Primarily On The Microsoft Stack\nLanguages C#, TypeScript, SQL\nFrameworks .NET Core/Framework, ASP.NET, Entity Framework, Angular, Docker\nTools Visual Studio, Azure DevOps, GIT\nHybrid Infrastructure On-premise IIS/SQL migrating to Azure IAAS/PAAS\nYou Will Have\nAt least 2 years of commercial software development experience\nGCSE Grade C (4/5) or equivalent in Maths and English\nA degree in a technical subject (Maths, Physics, Engineering, Computer Science or similar) is highly desirable\nCore & Flexible Benefits\nCompetitive discretionary annual bonus\nCore benefits paid for by BW including life assurance, group income protection, private medical cover and 25 days holiday per year with holiday trading\nA generous pension scheme where we contribute 8% of your salary from day one of your employment\nEmployee Assistance Programme to support you and your family through any concerns or challenges you may experience\nA comprehensive range of voluntary benefits to suit your life stage and lifestyle including a tech scheme, cycle to work scheme, dental cover, healthcare cash plan, health assessments, critical illness cover, extension of private medical cover or life assurance to family members, gym membership, travel insurance and a broad range of discounts at hundreds of retailers including supermarkets, fitness centres, travel and leisure companies\nFresh fruit, hot and cold drinks provided free of charge in all of our offices\nGiving Something Back\n1 paid volunteering day per year as a commitment to our Corporate Social Investment\nSupport your favourite charity with the ""Give as You Earn"" option\nMatch-funding for individuals raising money for a recognised charity\nOur corporate social investment programme is an integral part of what we do and is focused on ensuring that our overall impact is a positive one. We recognise that we have an impact that goes beyond our core activities.\nValues our values are PRINCIPLED, RESPECT, QUALITY AND PARTNERSHIP - they are important to us and we want them to be important to you as well.\n\nWellbeing employee wellbeing has always been important to us and our approach is to create an environment where individuals will be engaged at work, successful in what they do and able to achieve their full potential, benefiting both their self and the business. BW offer a great range of employee benefits as we believe it\'s important individuals are supported in making choices which are flexible enough to meet their needs and help support their wellness.\n\nDiversity we are committed to having a diverse and inclusive workforce where people from all backgrounds, beliefs and perspectives can thrive, feel welcome and develop to their full potential. Our recruitment processes are designed to be fair and consistent and enable candidates to compete on a level playing field.\n\nYour progression we offer career progression opportunities and a focus on training and professional development to provide you with the tools and skills to thrive. We also offer study support for relevant professional or skills qualifications.\n\nOther activities we have clubs, sporting events, social, cultural and belief groups across our offices if you’d like to join in and meet like-minded people.']"
